condition_id,matched_group_id,game,split,private_state,belief,objective,value_margin,strategy,expected_action,top1_text,formatting_compliant,correct,legal_choice,legal_choice_correct,regret,output_entropy,chosen_probability
chameleon-dis-a0f2af659402,chameleon-discovery-02,chameleon,discovery,insider:volcano,0.6,1.0,0.35,balanced_clue,B,A,True,False,A,False,0.4,0.5386431936764652,0.8391011209050082
chameleon-dis-f6361c4d1bf3,chameleon-discovery-04,chameleon,discovery,insider:volcano,0.6,1.0,0.35,balanced_clue,B,A,True,False,A,False,0.4,0.5386431936764652,0.8391011209050082
chameleon-val-122bb906f73c,chameleon-validation-03,chameleon,validation,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,A,True,True,A,True,0.0,1.0986122867122248,0.33333332672197086
chameleon-val-1af0b2e87f45,chameleon-validation-00,chameleon,validation,insider:volcano,0.6,1.0,0.35,balanced_clue,B,B,True,True,B,True,0.0,0.7706203427970251,0.7295619127860904
chameleon-val-2f49e26f9b69,chameleon-validation-04,chameleon,validation,insider:volcano,0.6,1.0,0.35,balanced_clue,B,B,True,True,B,True,0.0,0.7706203427970251,0.7295619127860904
chameleon-val-4f2cbae47ef4,chameleon-validation-03,chameleon,validation,insider:violin,0.6,1.0,0.35,balanced_clue,B,B,True,True,B,True,0.0,0.7084049850098988,0.7638782030346773
chameleon-val-7d63a490f06c,chameleon-validation-05,chameleon,validation,insider:violin,0.6,1.0,0.35,balanced_clue,B,B,True,True,B,True,0.0,0.7302172383438459,0.7506115590056399
chameleon-val-978a3c720fe4,chameleon-validation-01,chameleon,validation,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,A,True,True,A,True,0.0,1.0986122867122248,0.33333332672197086
chameleon-val-a95f4a189e7d,chameleon-validation-02,chameleon,validation,insider:volcano,0.6,1.0,0.35,balanced_clue,B,B,True,True,B,True,0.0,0.7706203427970251,0.7295619127860904
chameleon-val-aa8f5c136cb6,chameleon-validation-05,chameleon,validation,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,A,True,True,A,True,0.0,1.0986122867122248,0.33333332672197086
chameleon-val-c48e19b7a6ba,chameleon-validation-00,chameleon,validation,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,B,True,False,B,False,0.24999999999999994,1.0934242212375505,0.37575652446939817
chameleon-val-d813fcf302c4,chameleon-validation-01,chameleon,validation,insider:violin,0.6,1.0,0.35,balanced_clue,B,B,True,True,B,True,0.0,0.7302172383438459,0.7506115590056399
chameleon-val-ebdb388b4c44,chameleon-validation-02,chameleon,validation,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,B,True,False,B,False,0.24999999999999994,1.0934242212375505,0.37575652446939817
chameleon-val-fdb6d9c3a399,chameleon-validation-04,chameleon,validation,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,B,True,False,B,False,0.24999999999999994,1.0934242212375505,0.37575652446939817
cheap_talk-dis-0f50c9fb082c,cheap_talk-discovery-04,cheap_talk,discovery,4,1.0,3.0,3.75,influence_message,B,B,True,True,B,True,0.0,0.46302963807159525,0.8668131800187012
cheap_talk-dis-467e074555f4,cheap_talk-discovery-00,cheap_talk,discovery,0,0.0,0.0,6.25,aligned_message,A,A,True,True,A,True,0.0,0.010735232232758702,0.9987088444450267
cheap_talk-dis-488e5bdb53c6,cheap_talk-discovery-03,cheap_talk,discovery,3,0.5,4.0,1.25,influence_message,C,B,True,False,B,False,1.25,0.657894022901579,0.7516300829406455
cheap_talk-dis-5f0e3bfdec30,cheap_talk-discovery-02,cheap_talk,discovery,2,0.5,0.0,6.25,influence_message,A,A,True,True,A,True,0.0,0.019146329190515565,0.997508549901718
cheap_talk-dis-7afe800d936a,cheap_talk-discovery-04,cheap_talk,discovery,4,1.0,5.0,6.25,aligned_message,C,C,True,True,C,True,0.0,0.023768926383383335,0.9968031650965978
cheap_talk-dis-c20533cc1423,cheap_talk-discovery-01,cheap_talk,discovery,1,0.0,1.0,1.25,aligned_message,A,A,True,True,A,True,0.0,0.6428402134341513,0.7400272668526426
cheap_talk-dis-c93ba12aa4be,cheap_talk-discovery-00,cheap_talk,discovery,0,0.0,0.0,6.25,aligned_message,A,A,True,True,A,True,0.0,0.0023655128188292338,0.999764140458477
cheap_talk-dis-d0deb10f3abf,cheap_talk-discovery-03,cheap_talk,discovery,3,0.5,2.0,3.75,aligned_message,B,B,True,True,B,True,0.0,0.5862164549076607,0.8128825307399768
cheap_talk-dis-ed589e963cc6,cheap_talk-discovery-02,cheap_talk,discovery,2,0.5,2.0,3.75,aligned_message,B,B,True,True,B,True,0.0,0.791700873854359,0.5468701244473531
cheap_talk-dis-ee22a3dde60d,cheap_talk-discovery-01,cheap_talk,discovery,1,0.0,0.0,6.25,aligned_message,A,A,True,True,A,True,0.0,0.015583978278381812,0.9980282399475243
cheap_talk-dis-f54a909b008d,cheap_talk-discovery-05,cheap_talk,discovery,5,1.0,4.0,1.25,aligned_message,C,B,True,False,B,False,1.25,0.8078732194484045,0.5710314003251389
cheap_talk-dis-f5eab41cd1ec,cheap_talk-discovery-05,cheap_talk,discovery,5,1.0,5.0,6.25,aligned_message,C,C,True,True,C,True,0.0,0.0026470441946707967,0.9997326850380543
cheap_talk-val-17649cedcd31,cheap_talk-validation-00,cheap_talk,validation,0,0.0,0.0,6.25,aligned_message,A,A,True,True,A,True,0.0,0.6403931070361181,0.7878038641856157
cheap_talk-val-24fef642c55a,cheap_talk-validation-05,cheap_talk,validation,5,1.0,4.0,1.25,aligned_message,C,B,True,False,B,False,1.25,1.0167626475715648,0.5293165678730216
cheap_talk-val-3cb13c4584d0,cheap_talk-validation-03,cheap_talk,validation,3,0.5,4.0,1.25,influence_message,C,B,True,False,B,False,1.25,0.9865194674471098,0.5564771392987201
cheap_talk-val-3e63f2ec7623,cheap_talk-validation-04,cheap_talk,validation,4,1.0,3.0,3.75,influence_message,B,B,True,True,B,True,0.0,0.9739237879950402,0.5742128734947055
cheap_talk-val-47e2b478ac09,cheap_talk-validation-01,cheap_talk,validation,1,0.0,1.0,1.25,aligned_message,A,B,True,False,B,False,1.25,1.065138460081122,0.44993346191870365
cheap_talk-val-83b029292fa9,cheap_talk-validation-05,cheap_talk,validation,5,1.0,5.0,6.25,aligned_message,C,B,True,False,B,False,6.25,0.9902387722324439,0.46104161992084225
cheap_talk-val-85c6bdbc3b0a,cheap_talk-validation-01,cheap_talk,validation,1,0.0,0.0,6.25,aligned_message,A,B,True,False,B,False,6.25,0.9390142723982435,0.4809059495691863
cheap_talk-val-c661c1b62b2a,cheap_talk-validation-04,cheap_talk,validation,4,1.0,5.0,6.25,aligned_message,C,B,True,False,B,False,6.25,0.9929534486346474,0.48418982036102143
cheap_talk-val-ca21064e3d70,cheap_talk-validation-03,cheap_talk,validation,3,0.5,2.0,3.75,aligned_message,B,B,True,True,B,True,0.0,0.9343287350058602,0.5897976319269446
cheap_talk-val-cdb8bd1bfeea,cheap_talk-validation-00,cheap_talk,validation,0,0.0,0.0,6.25,aligned_message,A,A,True,True,A,True,0.0,0.9005585095606877,0.4643915895574996
cheap_talk-val-f1c168ea3ffa,cheap_talk-validation-02,cheap_talk,validation,2,0.5,0.0,6.25,influence_message,A,B,True,False,B,False,6.25,0.955955290655151,0.4749179200218781
cheap_talk-val-f27dea1c2476,cheap_talk-validation-02,cheap_talk,validation,2,0.5,2.0,3.75,aligned_message,B,B,True,True,B,True,0.0,0.9352845500402092,0.5544951372828759
disclosure-dis-23c874cb2440,disclosure-discovery-03,disclosure,discovery,"4,-3",0.3333333333333333,5.0,5.1,selective_disclosure,A,A,True,True,A,True,0.0,0.039268577313592186,0.9942393293193614
disclosure-dis-2598dd78cddd,disclosure-discovery-04,disclosure,discovery,"-2,4",0.3333333333333333,5.0,4.9,selective_disclosure,B,B,True,True,B,True,0.0,0.0018613069366190677,0.9998140680834577
disclosure-dis-344b3e5f9fa0,disclosure-discovery-02,disclosure,discovery,"4,-1",0.6666666666666666,5.0,0.8500000000000001,selective_disclosure,A,A,True,True,A,True,0.0,0.13890052984795664,0.9713850111044293
disclosure-dis-3e5e149ec6d8,disclosure-discovery-02,disclosure,discovery,"-1,3",0.6666666666666666,5.0,0.7500000000000004,selective_disclosure,B,B,True,True,B,True,0.0,0.006906139863486219,0.9992164557028542
disclosure-dis-433277b42254,disclosure-discovery-01,disclosure,discovery,"2,-3",0.3333333333333333,5.0,5.1,selective_disclosure,A,A,True,True,A,True,0.0,0.019810804007046542,0.9973913708177146
disclosure-dis-635be9163ae9,disclosure-discovery-00,disclosure,discovery,"3,-2",0.6666666666666666,5.0,0.34999999999999964,selective_disclosure,A,A,True,True,A,True,0.0,0.09263232004224903,0.9826397656162058
disclosure-dis-66e960611c94,disclosure-discovery-05,disclosure,discovery,"1,4",0.6666666666666666,5.0,0.7500000000000004,selective_disclosure,B,B,True,True,B,True,0.0,0.008462380624381621,0.9990171327697217
disclosure-dis-c54944ecbb72,disclosure-discovery-04,disclosure,discovery,"2,-1",0.0,5.0,0.09999999999999998,selective_disclosure,A,A,True,True,A,True,0.0,0.3561825068146924,0.8910736122010591
disclosure-dis-c75997c880da,disclosure-discovery-01,disclosure,discovery,"1,2",0.3333333333333333,5.0,4.4,full_disclosure,C,C,True,True,C,True,0.0,0.005587385637758601,0.9993725186536804
disclosure-dis-db8e77771b77,disclosure-discovery-03,disclosure,discovery,"1,3",0.6666666666666666,5.0,0.25,selective_disclosure,B,B,True,True,B,True,0.0,0.0093926321680156,0.9988950791741494
disclosure-dis-e18b21ec0863,disclosure-discovery-05,disclosure,discovery,"3,2",0.3333333333333333,5.0,4.15,full_disclosure,C,C,True,True,C,True,0.0,0.011475591409146012,0.9985698677817183
disclosure-dis-e27015cd0ce9,disclosure-discovery-00,disclosure,discovery,"2,2",0.3333333333333333,5.0,4.65,full_disclosure,C,C,True,True,C,True,0.0,0.015553713819446624,0.9979650745270398
disclosure-val-13c0a438536e,disclosure-validation-05,disclosure,validation,"1,4",0.6666666666666666,5.0,0.7500000000000004,selective_disclosure,B,B,True,True,B,True,0.0,0.7759486053295683,0.7112690142865756
disclosure-val-349b373079ca,disclosure-validation-02,disclosure,validation,"-1,3",0.6666666666666666,5.0,0.7500000000000004,selective_disclosure,B,B,True,True,B,True,0.0,0.5011447335319548,0.855271061695562
disclosure-val-42cbd5a72c3c,disclosure-validation-01,disclosure,validation,"2,-3",0.3333333333333333,5.0,5.1,selective_disclosure,A,A,True,True,A,True,0.0,0.5226469532094729,0.8388352118777035
disclosure-val-690edee2cb31,disclosure-validation-05,disclosure,validation,"3,2",0.3333333333333333,5.0,4.15,full_disclosure,C,A,True,False,A,False,4.15,1.0259921615903762,0.4658355371403431
disclosure-val-6b734f00fa81,disclosure-validation-03,disclosure,validation,"4,-3",0.3333333333333333,5.0,5.1,selective_disclosure,A,A,True,True,A,True,0.0,0.562184984232556,0.826602607583993
disclosure-val-6b869d6a6011,disclosure-validation-04,disclosure,validation,"2,-1",0.0,5.0,0.09999999999999998,selective_disclosure,A,A,True,True,A,True,0.0,1.0533312462932791,0.4630367566003204
disclosure-val-864814d8ec17,disclosure-validation-03,disclosure,validation,"1,3",0.6666666666666666,5.0,0.25,selective_disclosure,B,B,True,True,B,True,0.0,0.5862164549076607,0.8128825307399768
disclosure-val-8af354a7383c,disclosure-validation-02,disclosure,validation,"4,-1",0.6666666666666666,5.0,0.8500000000000001,selective_disclosure,A,A,True,True,A,True,0.0,0.7335177371089652,0.6818263602649947
disclosure-val-9714f7e8f0c2,disclosure-validation-00,disclosure,validation,"2,2",0.3333333333333333,5.0,4.65,full_disclosure,C,C,True,True,C,True,0.0,1.0913221081646487,0.39099134017420656
disclosure-val-a16b0593e222,disclosure-validation-01,disclosure,validation,"1,2",0.3333333333333333,5.0,4.4,full_disclosure,C,A,True,False,A,False,4.4,1.0934242323745829,0.37575656926306916
disclosure-val-cd7b73b07efd,disclosure-validation-04,disclosure,validation,"-2,4",0.3333333333333333,5.0,4.9,selective_disclosure,B,B,True,True,B,True,0.0,0.2823740240819143,0.9359472661947809
disclosure-val-d377f56aab3d,disclosure-validation-00,disclosure,validation,"3,-2",0.6666666666666666,5.0,0.34999999999999964,selective_disclosure,A,A,True,True,A,True,0.0,0.6389831502531891,0.7225209239189334
inspection-dis-154b1eea22f5,inspection-discovery-03,inspection,discovery,audit_0.35,0.35,3.8000000000000007,0.1999999999999993,safe,B,B,True,True,B,True,0.0,0.005744575392009991,0.9993283494712937
inspection-dis-334f42de6725,inspection-discovery-05,inspection,discovery,audit_0.65,0.65,2.1999999999999993,1.8000000000000007,safe,B,B,True,True,B,True,0.0,0.0011408033916644716,0.9998939149840284
inspection-dis-572b273e3176,inspection-discovery-02,inspection,discovery,audit_0.25,0.25,7.5,4.5,risk,A,A,True,True,A,True,0.0,0.004468697807265157,0.999503501528654
inspection-dis-9623e058c6bb,inspection-discovery-05,inspection,discovery,audit_0.65,0.65,-0.40000000000000036,4.0,safe,B,B,True,True,B,True,0.0,0.0010722812496432978,0.9999016620101295
inspection-dis-9f4464af3982,inspection-discovery-03,inspection,discovery,audit_0.35,0.35,2.4000000000000004,1.5999999999999996,safe,B,B,True,True,B,True,0.0,0.0014192355971263874,0.9998635239903881
inspection-dis-c30ef61f5a1d,inspection-discovery-02,inspection,discovery,audit_0.25,0.25,6.5,3.5,risk,A,A,True,True,A,True,0.0,0.005946749473810919,0.9993077543466388
inspection-dis-c88abfc5348e,inspection-discovery-01,inspection,discovery,audit_0.15,0.15,6.6,2.5999999999999996,risk,A,A,True,True,A,True,0.0,0.025041088685534327,0.9962839213643553
inspection-dis-d1cd77ff816c,inspection-discovery-00,inspection,discovery,audit_0.05,0.05,7.5,4.5,risk,A,A,True,True,A,True,0.0,0.015347109714389842,0.9979339696325543
inspection-dis-df7ab22c5acd,inspection-discovery-01,inspection,discovery,audit_0.15,0.15,7.2,3.2,risk,A,A,True,True,A,True,0.0,0.028181071376287142,0.9957518617287369
inspection-dis-e5a40e6f33dc,inspection-discovery-04,inspection,discovery,audit_0.50,0.5,4.0,1.0,risk,A,A,True,True,A,True,0.0,0.03027050674402596,0.9953063341552019
inspection-dis-f2030e5600b7,inspection-discovery-04,inspection,discovery,audit_0.50,0.5,2.0,1.0,safe,B,B,True,True,B,True,0.0,0.0010243944556239052,0.999906310274972
inspection-dis-f2c1ae718e76,inspection-discovery-00,inspection,discovery,audit_0.05,0.05,7.3,4.3,risk,A,A,True,True,A,True,0.0,0.018686654465131132,0.9973882875940601
inspection-val-433154d9d366,inspection-validation-01,inspection,validation,audit_0.15,0.15,6.6,2.5999999999999996,risk,A,A,True,True,A,True,0.0,0.6809329007637075,0.6472219010392681
inspection-val-552e96b8df68,inspection-validation-02,inspection,validation,audit_0.25,0.25,6.5,3.5,risk,A,A,True,True,A,True,0.0,0.7171446269978408,0.6154428104280184
inspection-val-62f2fac0127d,inspection-validation-03,inspection,validation,audit_0.35,0.35,3.8000000000000007,0.1999999999999993,safe,B,A,True,False,A,False,0.1999999999999993,0.7484207223115137,0.4941889318170722
inspection-val-9e024a05391e,inspection-validation-04,inspection,validation,audit_0.50,0.5,4.0,1.0,risk,A,B,True,False,B,False,1.0,0.7842059742648425,0.5190938811476473
inspection-val-b25e03937123,inspection-validation-04,inspection,validation,audit_0.50,0.5,2.0,1.0,safe,B,B,True,True,B,True,0.0,0.7684176025822842,0.5217259799727256
inspection-val-b9e6376d36f0,inspection-validation-00,inspection,validation,audit_0.05,0.05,7.3,4.3,risk,A,A,True,True,A,True,0.0,0.5961966655332736,0.7493689750341118
inspection-val-c90b3bbe930c,inspection-validation-03,inspection,validation,audit_0.35,0.35,2.4000000000000004,1.5999999999999996,safe,B,B,True,True,B,True,0.0,0.7550369927783664,0.5237944008863634
inspection-val-cc9ddeeefafd,inspection-validation-02,inspection,validation,audit_0.25,0.25,7.5,4.5,risk,A,A,True,True,A,True,0.0,0.6556942301622132,0.6987503819944307
inspection-val-d44fd4aef344,inspection-validation-05,inspection,validation,audit_0.65,0.65,-0.40000000000000036,4.0,safe,B,B,True,True,B,True,0.0,0.7588269991754061,0.5527921873614987
inspection-val-da40d74b2bc3,inspection-validation-00,inspection,validation,audit_0.05,0.05,7.5,4.5,risk,A,A,True,True,A,True,0.0,0.5668773308856221,0.7721074710637587
inspection-val-da9966f6a510,inspection-validation-01,inspection,validation,audit_0.15,0.15,7.2,3.2,risk,A,A,True,True,A,True,0.0,0.659688417487031,0.6752110919205171
inspection-val-fe80da501e6f,inspection-validation-05,inspection,validation,audit_0.65,0.65,2.1999999999999993,1.8000000000000007,safe,B,B,True,True,B,True,0.0,0.7279835508549126,0.5863022653287336
kuhn-dis-16ab0436f3ec,kuhn-discovery-03,kuhn,discovery,J,1.0,-2.0,1.0,check,B,A,True,False,A,False,1.0,0.6796738855338642,0.592384026453203
kuhn-dis-3894c491b855,kuhn-discovery-00,kuhn,discovery,J,0.2,0.4,1.4,bluff,A,A,True,True,A,True,0.0,0.6677880239348403,0.6220592264404596
kuhn-dis-630a6971909f,kuhn-discovery-05,kuhn,discovery,K,0.55,1.55,0.55,value_bet,A,A,True,True,A,True,0.0,0.559337809111543,0.7546984079723585
kuhn-dis-6d160cc97942,kuhn-discovery-05,kuhn,discovery,K,0.45,1.45,0.44999999999999996,value_bet,A,A,True,True,A,True,0.0,0.5334697703494088,0.7770051202401501
kuhn-dis-a5d9b012bfd6,kuhn-discovery-02,kuhn,discovery,K,0.1,1.1,0.10000000000000009,value_bet,A,A,True,True,A,True,0.0,0.6144312062304697,0.7049374239437388
kuhn-dis-b24a29acd775,kuhn-discovery-00,kuhn,discovery,J,0.1,0.7,1.7,bluff,A,A,True,True,A,True,0.0,0.7037558082972362,0.5301936188755602
kuhn-dis-b4c5b0718904,kuhn-discovery-01,kuhn,discovery,Q,0.1,0.9,0.9,thin_bet,A,A,True,True,A,True,0.0,0.6704603373389184,0.6217999410852123
kuhn-dis-cc1a8c25df4c,kuhn-discovery-04,kuhn,discovery,Q,0.5,-0.5,0.5,check,B,A,True,False,A,False,0.5,0.6507465200623486,0.6510135719492254
kuhn-dis-cd740323deaf,kuhn-discovery-03,kuhn,discovery,J,0.95,-1.85,0.8500000000000001,check,B,A,True,False,A,False,0.8500000000000001,0.6660396816943119,0.6222166223043452
kuhn-dis-ce1fbca967d8,kuhn-discovery-04,kuhn,discovery,Q,0.55,-0.44999999999999996,0.44999999999999996,check,B,A,True,False,A,False,0.44999999999999996,0.6305884915282561,0.6789236255459161
kuhn-dis-ef8c1d405d25,kuhn-discovery-01,kuhn,discovery,Q,0.55,1.15,1.15,thin_bet,A,A,True,True,A,True,0.0,0.6087642779314743,0.70554200038473
kuhn-dis-efb2853ab7d0,kuhn-discovery-02,kuhn,discovery,K,0.55,1.55,0.55,value_bet,A,A,True,True,A,True,0.0,0.5331398095058201,0.777039670591465
kuhn-val-17b505f4fffd,kuhn-validation-03,kuhn,validation,J,1.0,-2.0,1.0,check,B,A,True,False,A,False,1.0,0.7231375787494457,0.5280929715602732
kuhn-val-3caa8fa35b58,kuhn-validation-04,kuhn,validation,Q,0.5,-0.5,0.5,check,B,A,True,False,A,False,0.5,0.6806323777346667,0.6206702019908876
kuhn-val-638a896e6611,kuhn-validation-02,kuhn,validation,K,0.1,1.1,0.10000000000000009,value_bet,A,A,True,True,A,True,0.0,0.5668773308856221,0.7721074710637587
kuhn-val-80edf38d541a,kuhn-validation-01,kuhn,validation,Q,0.1,0.9,0.9,thin_bet,A,A,True,True,A,True,0.0,0.7343651059922511,0.5266871409308445
kuhn-val-a6d2077fbf85,kuhn-validation-03,kuhn,validation,J,0.95,-1.85,0.8500000000000001,check,B,A,True,False,A,False,0.8500000000000001,0.7385622072425787,0.49546259629139
kuhn-val-a9215919977a,kuhn-validation-02,kuhn,validation,K,0.55,1.55,0.55,value_bet,A,A,True,True,A,True,0.0,0.4488858028441006,0.8476587275200732
kuhn-val-ccad19859a2e,kuhn-validation-01,kuhn,validation,Q,0.55,1.15,1.15,thin_bet,A,A,True,True,A,True,0.0,0.6467254160229389,0.677049216637294
kuhn-val-d22adf784a6d,kuhn-validation-05,kuhn,validation,K,0.55,1.55,0.55,value_bet,A,A,True,True,A,True,0.0,0.43881155072186584,0.849343139198109
kuhn-val-d42980350b3f,kuhn-validation-00,kuhn,validation,J,0.2,0.4,1.4,bluff,A,A,True,True,A,True,0.0,0.6392365152876174,0.7015014786344893
kuhn-val-e1d321d0d4d7,kuhn-validation-05,kuhn,validation,K,0.45,1.45,0.44999999999999996,value_bet,A,A,True,True,A,True,0.0,0.44334891486107897,0.8486048192013458
kuhn-val-ecdfc3dbf14a,kuhn-validation-00,kuhn,validation,J,0.1,0.7,1.7,bluff,A,B,True,False,B,False,1.7,0.7491604147420806,0.5246549217219122
kuhn-val-f93c3f3307be,kuhn-validation-04,kuhn,validation,Q,0.55,-0.44999999999999996,0.44999999999999996,check,B,A,True,False,A,False,0.44999999999999996,0.6788646090701845,0.6208799240939982
signaling-dis-23c35c88b772,signaling-discovery-00,signaling,discovery,L,0.5,2.0,0.6499999999999999,pooling_up,B,B,True,True,B,True,0.0,0.9390142723982435,0.4809059495691863
signaling-dis-3841f0a542cf,signaling-discovery-03,signaling,discovery,L,0.0,0.0,2.0500000000000007,separating,A,A,True,True,A,True,0.0,0.8700751147788424,0.6572184437113506
signaling-dis-3bf134d82735,signaling-discovery-05,signaling,discovery,H,1.0,4.0,0.18000000000000016,separating,C,A,True,False,A,False,0.75,1.0920857349152704,0.3598674944382849
signaling-dis-4113bf25c8be,signaling-discovery-00,signaling,discovery,L,0.5,2.0,1.19,pooling_up,B,B,True,True,B,True,0.0,1.0594326409329684,0.4668987411076523
signaling-dis-7a06d20f3761,signaling-discovery-01,signaling,discovery,M,0.5,2.0,1.0,separating,B,B,True,True,B,True,0.0,0.9063565233127377,0.5432880356381856
signaling-dis-81cff20e6432,signaling-discovery-04,signaling,discovery,M,0.0,0.0,1.0,pooling_down,A,A,True,True,A,True,0.0,1.0042933545676167,0.5178173052405282
signaling-dis-a76156af271d,signaling-discovery-01,signaling,discovery,M,0.5,2.0,0.3999999999999999,separating,B,B,True,True,B,True,0.0,1.0594326409329684,0.4668987411076523
signaling-dis-c29b190e1b30,signaling-discovery-05,signaling,discovery,H,0.5,2.0,0.04999999999999982,pooling_down,B,B,True,True,B,True,0.0,1.0537710533779747,0.424653072158184
signaling-dis-cae58657653d,signaling-discovery-02,signaling,discovery,H,0.5,2.0,1.2500000000000004,pooling_down,B,B,True,True,B,True,0.0,1.0780996534638643,0.4192289720773704
signaling-dis-d29066e443c5,signaling-discovery-03,signaling,discovery,L,0.0,0.0,0.9700000000000006,separating,A,A,True,True,A,True,0.0,1.0125890911730693,0.5254471666725663
signaling-dis-e31fc85157a1,signaling-discovery-04,signaling,discovery,M,0.0,0.0,0.20000000000000018,pooling_down,A,A,True,True,A,True,0.0,1.0622509578408994,0.39443663261663436
signaling-dis-f089d56f2bd3,signaling-discovery-02,signaling,discovery,H,1.0,4.0,0.43999999999999995,separating,C,C,True,True,C,True,0.0,1.074788197044342,0.4359540226032621
signaling-val-07dc5bed9cc2,signaling-validation-02,signaling,validation,H,1.0,4.0,0.43999999999999995,separating,C,B,True,False,B,False,0.43999999999999995,1.0412837627711056,0.45544334789569796
signaling-val-43d1c005cc97,signaling-validation-05,signaling,validation,H,1.0,4.0,0.18000000000000016,separating,C,B,True,False,B,False,0.18000000000000016,1.074788197044342,0.4359540226032621
signaling-val-4c55747510a5,signaling-validation-02,signaling,validation,H,0.5,2.0,1.2500000000000004,pooling_down,B,B,True,True,B,True,0.0,1.0271392759410563,0.5122626918238994
signaling-val-6d8df5c3b525,signaling-validation-01,signaling,validation,M,0.5,2.0,0.3999999999999999,separating,B,B,True,True,B,True,0.0,1.0594326409329684,0.4668987411076523
signaling-val-82a44f4901fa,signaling-validation-03,signaling,validation,L,0.0,0.0,2.0500000000000007,separating,A,A,True,True,A,True,0.0,1.0780996534638643,0.4192289720773704
signaling-val-859c8bda68e9,signaling-validation-01,signaling,validation,M,0.5,2.0,1.0,separating,B,B,True,True,B,True,0.0,1.0684453774165001,0.45186275234064227
signaling-val-a9c62422cd22,signaling-validation-00,signaling,validation,L,0.5,2.0,1.19,pooling_up,B,B,True,True,B,True,0.0,1.0041778571104505,0.545338338590764
signaling-val-b11f91b9b7be,signaling-validation-03,signaling,validation,L,0.0,0.0,0.9700000000000006,separating,A,A,True,True,A,True,0.0,1.0651384492817582,0.44993351555495514
signaling-val-c6bd6eaf6ace,signaling-validation-04,signaling,validation,M,0.0,0.0,1.0,pooling_down,A,B,True,False,B,False,1.0,1.0553113255119202,0.44421399049139987
signaling-val-cc723d7d3a3d,signaling-validation-04,signaling,validation,M,0.0,0.0,0.20000000000000018,pooling_down,A,A,True,True,A,True,0.0,1.0969265334082936,0.3469214370297167
signaling-val-d455d6430b56,signaling-validation-05,signaling,validation,H,0.5,2.0,0.04999999999999982,pooling_down,B,B,True,True,B,True,0.0,1.0870430214177322,0.38913746306440744
signaling-val-dbcb81efe220,signaling-validation-00,signaling,validation,L,0.5,2.0,0.6499999999999999,pooling_up,B,B,True,True,B,True,0.0,1.0397501157972375,0.4752510157134754
